country,topic,best_lag,best_correlation,dtw_distance,edit_similarity,direction,politics_amplitude,media_amplitude,amplitude_gap
UK,1,-2,5.376808237114974e-15,0.09600000000000009,0.9205298013245033,weak/no clear influence,0.0040000000000000036,0.0,0.0040000000000000036
UK,2,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,3,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,4,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,5,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,6,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,7,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,8,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,9,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,10,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,11,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,12,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,13,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,14,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,15,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,16,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,17,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,18,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,19,-1,1.3877787807814488e-14,0.07199999999999993,0.9602649006622517,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
UK,20,-3,0.0,1.2000000000000004,0.9602649006622517,weak/no clear influence,0.05,0.0,0.05
US,1,-1,1.5795098818539454e-14,0.052000000000000046,0.9565943238731218,weak/no clear influence,0.0040000000000000036,0.0,0.0040000000000000036
US,2,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,3,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,4,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,5,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,6,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,7,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,8,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,9,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,10,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,11,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,12,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,13,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,14,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,15,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,16,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,17,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,18,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,19,-2,1.8342996664933906e-14,0.038999999999999944,0.9782971619365609,weak/no clear influence,0.0029999999999999957,0.0,0.0029999999999999957
US,20,-3,0.0,0.65,0.9782971619365609,weak/no clear influence,0.05,0.0,0.05
