time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 37,0.0,0.459,0.0,0.0,0.042,0.0,0.0,0.0,0.083,0.125,0.125,0.083,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 38,0.0,0.499,0.0,0.0,0.067,0.0,0.0,0.0,0.1,0.1,0.1,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 39,0.0,0.589,0.0,0.034,0.138,0.0,0.0,0.0,0.034,0.069,0.034,0.034,0.034,0.0,0.034,0.0,0.0,0.0,0.0,0.0
time point 40,0.0,0.512,0.0,0.026,0.103,0.0,0.0,0.0,0.0,0.051,0.026,0.026,0.077,0.0,0.051,0.051,0.0,0.077,0.0,0.0
time point 41,0.0,0.634,0.0,0.073,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.024,0.049,0.0,0.073,0.0,0.0
time point 42,0.0,0.691,0.0,0.103,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.069,0.0,0.0,0.0,0.0
time point 43,0.0,0.611,0.0,0.0,0.043,0.0,0.0,0.0,0.087,0.13,0.0,0.0,0.043,0.0,0.043,0.043,0.0,0.0,0.0,0.0
time point 44,0.0,0.65,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
time point 45,0.0,0.784,0.0,0.043,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0
time point 46,0.0,0.751,0.0,0.031,0.094,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.062,0.0,0.0,0.0,0.0,0.0,0.0
time point 47,0.0,0.553,0.0,0.0,0.184,0.0,0.026,0.0,0.079,0.053,0.053,0.0,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0
time point 48,0.0,0.533,0.0,0.0,0.2,0.0,0.033,0.0,0.067,0.067,0.067,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 49,0.0,0.577,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.038,0.0,0.0,0.0,0.0,0.077,0.0,0.0
time point 50,0.0,0.593,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.037,0.0,0.0,0.0,0.0,0.074,0.0,0.0
time point 51,0.0,0.581,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.032,0.032,0.161,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0
time point 52,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.094,0.031,0.156,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0
time point 53,0.0,0.415,0.0,0.0,0.276,0.0,0.0,0.0,0.034,0.172,0.034,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 54,0.0,0.501,0.0,0.0,0.281,0.0,0.0,0.0,0.031,0.094,0.031,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 55,0.0,0.679,0.0,0.0,0.071,0.0,0.0,0.0,0.071,0.036,0.0,0.036,0.071,0.0,0.036,0.0,0.0,0.0,0.0,0.0
time point 56,0.0,0.819,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.061,0.0,0.03,0.0,0.0,0.0,0.0,0.0
time point 57,0.0,0.691,0.0,0.022,0.044,0.0,0.0,0.0,0.044,0.089,0.044,0.0,0.0,0.022,0.044,0.0,0.0,0.0,0.0,0.0
time point 58,0.0,0.543,0.0,0.057,0.057,0.0,0.0,0.0,0.057,0.086,0.057,0.057,0.0,0.029,0.057,0.0,0.0,0.0,0.0,0.0
time point 59,0.0,0.607,0.0,0.107,0.071,0.0,0.0,0.0,0.0,0.036,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 60,0.0,0.64,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 61,0.0,0.375,0.0,0.0,0.167,0.0,0.0,0.0,0.042,0.042,0.083,0.083,0.083,0.0,0.042,0.083,0.0,0.0,0.0,0.0
time point 62,0.0,0.355,0.0,0.0,0.161,0.0,0.0,0.0,0.032,0.032,0.065,0.129,0.097,0.0,0.032,0.097,0.0,0.0,0.0,0.0
time point 63,0.0,0.572,0.0,0.036,0.071,0.0,0.0,0.0,0.107,0.0,0.0,0.071,0.036,0.0,0.0,0.036,0.0,0.071,0.0,0.0
time point 64,0.037,0.63,0.0,0.037,0.0,0.0,0.0,0.037,0.111,0.037,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0
time point 65,0.059,0.587,0.0,0.0,0.059,0.0,0.0,0.059,0.0,0.118,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 66,0.0,0.654,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.043,0.0,0.043,0.043,0.0,0.087,0.0,0.0,0.087,0.0,0.0
time point 67,0.0,0.748,0.0,0.0,0.028,0.0,0.0,0.0,0.028,0.0,0.056,0.0,0.028,0.0,0.056,0.0,0.0,0.056,0.0,0.0
time point 68,0.029,0.795,0.0,0.0,0.029,0.0,0.0,0.0,0.059,0.0,0.059,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 69,0.026,0.512,0.0,0.051,0.026,0.0,0.0,0.0,0.179,0.0,0.0,0.077,0.026,0.026,0.0,0.077,0.0,0.0,0.0,0.0
time point 70,0.0,0.478,0.0,0.091,0.023,0.0,0.0,0.0,0.136,0.0,0.0,0.136,0.0,0.023,0.0,0.068,0.0,0.045,0.0,0.0
time point 71,0.0,0.535,0.0,0.049,0.122,0.0,0.0,0.0,0.098,0.049,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0
time point 72,0.0,0.571,0.0,0.0,0.143,0.0,0.0,0.0,0.095,0.071,0.024,0.048,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0
time point 73,0.0,0.541,0.0,0.0,0.027,0.0,0.0,0.0,0.081,0.054,0.027,0.054,0.027,0.081,0.054,0.0,0.0,0.027,0.027,0.0
time point 74,0.0,0.435,0.0,0.0,0.033,0.0,0.0,0.0,0.1,0.033,0.0,0.033,0.2,0.033,0.067,0.0,0.0,0.033,0.033,0.0
time point 75,0.0,0.578,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.115,0.0,0.0,0.0,0.0,0.0,0.0
time point 76,0.0,0.794,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.103,0.0,0.0,0.0,0.0,0.0,0.0
time point 77,0.0,0.733,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 78,0.038,0.617,0.0,0.077,0.115,0.0,0.0,0.038,0.0,0.077,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 79,0.023,0.604,0.0,0.047,0.07,0.047,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.0,0.023,0.0
time point 80,0.0,0.536,0.0,0.0,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.036,0.0
time point 81,0.0,0.52,0.0,0.0,0.2,0.0,0.0,0.0,0.08,0.04,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0
time point 82,0.0,0.541,0.0,0.0,0.257,0.0,0.0,0.0,0.086,0.029,0.029,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.029,0.0
time point 83,0.0,0.642,0.0,0.0,0.143,0.0,0.0,0.0,0.119,0.0,0.048,0.0,0.0,0.0,0.024,0.024,0.0,0.0,0.0,0.0
time point 84,0.0,0.732,0.0,0.0,0.049,0.0,0.0,0.0,0.122,0.0,0.049,0.0,0.0,0.0,0.024,0.024,0.0,0.0,0.0,0.0
time point 85,0.0,0.65,0.0,0.025,0.075,0.0,0.0,0.0,0.125,0.0,0.0,0.025,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
time point 86,0.0,0.605,0.0,0.03,0.061,0.0,0.0,0.0,0.152,0.0,0.0,0.03,0.061,0.061,0.0,0.0,0.0,0.0,0.0,0.0
time point 87,0.0,0.578,0.053,0.0,0.053,0.0,0.0,0.026,0.132,0.0,0.026,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.079,0.0
time point 88,0.0,0.609,0.056,0.0,0.056,0.0,0.0,0.028,0.056,0.0,0.028,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.111,0.0
time point 89,0.042,0.373,0.0,0.042,0.125,0.0,0.0,0.0,0.083,0.125,0.042,0.042,0.0,0.042,0.0,0.042,0.0,0.0,0.042,0.0
time point 90,0.028,0.498,0.0,0.028,0.139,0.0,0.0,0.0,0.056,0.083,0.028,0.028,0.028,0.028,0.0,0.056,0.0,0.0,0.0,0.0
time point 91,0.0,0.713,0.0,0.0,0.095,0.0,0.0,0.0,0.024,0.048,0.0,0.024,0.024,0.0,0.0,0.024,0.0,0.0,0.048,0.0
time point 92,0.0,0.636,0.0,0.0,0.091,0.0,0.0,0.0,0.03,0.061,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0
time point 93,0.0,0.408,0.0,0.037,0.333,0.0,0.0,0.0,0.037,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0
time point 94,0.0,0.464,0.0,0.024,0.244,0.0,0.073,0.0,0.049,0.073,0.0,0.0,0.0,0.049,0.0,0.024,0.0,0.0,0.0,0.0
time point 95,0.0,0.46,0.0,0.062,0.125,0.0,0.062,0.0,0.042,0.042,0.0,0.0,0.062,0.062,0.0,0.062,0.0,0.0,0.021,0.0
time point 96,0.0,0.392,0.0,0.107,0.179,0.0,0.0,0.0,0.036,0.036,0.0,0.0,0.107,0.036,0.0,0.071,0.0,0.0,0.036,0.0
time point 97,0.0,0.774,0.0,0.045,0.091,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 98,0.0,0.708,0.0,0.029,0.147,0.0,0.0,0.0,0.029,0.029,0.029,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 99,0.0,0.736,0.0,0.0,0.211,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 100,0.0,0.799,0.0,0.0,0.067,0.0,0.0,0.0,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 101,0.0,0.666,0.0,0.0,0.133,0.0,0.0,0.0,0.067,0.067,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 102,0.0,0.571,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 103,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 104,0.0,0.61,0.0,0.0,0.056,0.0,0.0,0.0,0.278,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 105,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.211,0.0,0.0,0.053,0.0,0.0,0.053,0.0
time point 106,0.0,0.461,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.0,0.0,0.077,0.0,0.0,0.077,0.0
time point 107,0.0,0.667,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0
time point 108,0.0,0.528,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.059,0.118,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.118,0.0
time point 109,0.0,0.45,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.05,0.15,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0
time point 110,0.0,0.466,0.0,0.0,0.333,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0
time point 111,0.0,0.538,0.0,0.0,0.154,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.077,0.154,0.0,0.0,0.0,0.0,0.0,0.0
time point 112,0.0,0.6,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.05,0.0
time point 113,0.0,0.732,0.0,0.0,0.067,0.0,0.0,0.0,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0
time point 114,0.0,0.584,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 115,0.0,0.501,0.0,0.0,0.357,0.0,0.0,0.0,0.071,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 116,0.0,0.545,0.0,0.0,0.091,0.0,0.0,0.0,0.182,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 117,0.0,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 118,0.0,0.578,0.0,0.0,0.158,0.0,0.0,0.0,0.211,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 119,0.062,0.502,0.0,0.0,0.312,0.0,0.0,0.0,0.0,0.062,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 120,0.067,0.465,0.0,0.0,0.267,0.0,0.0,0.0,0.067,0.0,0.0,0.067,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0
